observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5
remora4,remora5,19.98,19.97,19.99,20.03,20.00,20.00,19.97,19.98,20.03,20.03,19.98,19.97,19.99,20.03,20.00,20.00,19.97,19.98,20.03,20.03,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,182.84
remora4,remora5,19.99,19.99,19.98,20.03,20.03,19.99,19.97,19.97,19.99,20.04,19.99,19.99,19.98,20.03,20.03,19.99,19.97,19.97,19.98,20.04,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,182.47
remora4,remora5,20.03,20.00,19.98,19.98,20.02,20.00,20.00,19.97,19.96,20.01,20.03,20.00,19.98,19.98,20.02,20.00,20.00,19.97,19.96,20.01,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,184.06
remora4,remora5,19.97,20.03,20.03,19.99,19.99,19.97,20.00,20.04,20.01,20.00,19.97,20.03,20.03,19.99,19.99,19.97,20.00,20.04,20.01,20.00,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.13,2.13,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.13,2.13,183.65
remora4,remora3,19.75,19.76,19.77,19.80,19.87,19.89,19.88,19.89,19.86,19.92,19.75,19.76,19.77,19.80,19.87,19.89,19.88,19.89,19.86,19.92,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,183.87
remora4,remora3,19.96,20.03,20.00,19.99,19.97,19.94,19.95,20.00,20.00,19.97,19.96,20.03,20.00,19.99,19.97,19.94,19.95,20.00,20.00,19.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,184.33
remora4,remora3,19.99,19.95,20.02,20.00,19.98,19.99,19.97,20.00,20.01,19.97,19.99,19.95,20.02,20.00,19.98,19.99,19.97,20.00,20.02,19.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.54,1.54,181.67
remora4,remora3,20.00,19.96,20.03,20.03,20.01,19.99,19.98,20.01,20.02,20.00,20.00,19.96,20.03,20.03,20.01,19.99,19.98,20.01,20.02,20.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,182.09
remora4,remora3,19.99,19.98,19.96,20.01,20.03,19.99,19.98,19.97,20.01,20.05,19.99,19.98,19.96,20.01,20.02,19.99,19.98,19.97,20.00,20.05,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,182.85
remora4,remora3,20.01,20.00,19.98,19.99,20.03,20.02,19.98,19.98,19.96,20.03,20.01,20.00,19.98,19.99,20.03,20.02,19.98,19.98,19.96,20.02,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,182.47
